index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
PR-AUC,0.13160785551957055,2.963264317562183e-05,SVC,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.963264317562183e-05,2.963264317562183e-05,SVC,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.3402777777777778,4.770544668038686e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.31074004776569925,4.770544668038686e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.8513594460688759,4.770544668038686e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.3313716829666217,4.770544668038686e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,4.770544668038686e-07,4.770544668038686e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.1736111111111111,5.984070917798413e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.13242313563702235,5.984070917798413e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.789327104653996,5.984070917798413e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.2260230784394395,5.984070917798413e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,5.984070917798413e-07,5.984070917798413e-07,LogisticRegression,2,"['462', '1023']",[1 1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.2743055555555556,5.744523110075129e-06,LogisticRegression,2,"['462', '1023']",[1 1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.24210104179568576,5.744523110075129e-06,LogisticRegression,2,"['462', '1023']",[1 1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.8396400615253412,5.744523110075129e-06,LogisticRegression,2,"['462', '1023']",[1 1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.31201624728688704,5.744523110075129e-06,LogisticRegression,2,"['462', '1023']",[1 1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,5.744523110075129e-06,5.744523110075129e-06,LogisticRegression,2,"['462', '1023']",[1 1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.22916666666666666,1.356186888491114e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.19255614996476822,1.356186888491114e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.8549877660006497,1.356186888491114e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.27175036967829774,1.356186888491114e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,1.356186888491114e-05,1.356186888491114e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.2743055555555556,2.1022365480247472e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.24090272907533306,2.1022365480247472e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.839488405620533,2.1022365480247472e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.28646504069689516,2.1022365480247472e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.1022365480247472e-05,2.1022365480247472e-05,LogisticRegression,2,"['462', '1023']",[1 1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.3298611111111111,0.0009190629663256307,RandomForestClassifier,2,"['462', '1023']",[1 1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
